Source,Target,Frequency
0,2,1
END,0,1
3,4,3
3,14,0
38,END,1
4,8,3
14,18,0
9,8,12
13,23,3
8,9,12
8,13,3
23,24,0
23,33,3
19,18,0
18,19,0
18,23,0
24,28,0
33,2,3
29,28,0
28,29,0
28,33,0
2,3,3
2,38,1
